iter	Passed	Remaining
705	40578	16898
706	40638	16841
707	40707	16789
708	40768	16732
709	40819	16672
710	40882	16617
711	40935	16558
712	40990	16499
713	41046	16441
714	41108	16385
715	41162	16326
716	41214	16267
717	41284	16214
718	41346	16158
719	41398	16099
720	41454	16041
721	41521	15987
722	41615	15944
723	41670	15885
724	41730	15828
725	41792	15772
726	41909	15737
727	41961	15677
728	42010	15617
729	42061	15556
730	42119	15499
731	42176	15441
732	42232	15383
733	42283	15323
734	42333	15263
735	42437	15222
736	42491	15163
737	42547	15104
738	42604	15046
739	42674	14993
740	42724	14933
741	42798	14881
742	42849	14821
743	42909	14764
744	42956	14703
745	43013	14645
746	43064	14585
747	43170	14544
748	43227	14485
749	43293	14431
750	43347	14372
751	43401	14313
752	43449	14252
753	43504	14193
754	43564	14136
755	43629	14081
756	43691	14025
757	43746	13966
758	43805	13909
759	43871	13854
760	43928	13796
761	43985	13738
762	44043	13680
763	44097	13621
764	44190	13574
765	44245	13516
766	44309	13460
767	44364	13401
768	44424	13344
769	44480	13286
770	44534	13227
771	44588	13168
772	44643	13110
773	44701	13052
774	44758	12994
775	44825	12939
776	44905	12888
777	44965	12830
778	45023	12773
779	45080	12715
780	45175	12667
781	45230	12608
782	45283	12549
783	45335	12490
784	45388	12431
785	45447	12373
786	45553	12328
787	45600	12268
788	45659	12210
789	45705	12149
790	45757	12090
791	45831	12036
792	45885	11977
793	45935	11917
794	45985	11857
795	46038	11798
796	46101	11742
797	46156	11683
798	46208	11624
799	46269	11567
800	46340	11512
801	46428	11462
802	46482	11403
803	46541	11346
804	46594	11286
805	46648	11228
806	46703	11169
807	46764	11112
808	46869	11065
809	46932	11008
810	46988	10950
811	47049	10893
812	47112	10836
813	47163	10776
814	47218	10718
815	47270	10658
816	47360	10608
817	47422	10551
818	47482	10493
819	47539	10435
820	47590	10375
821	47639	10316
822	47698	10258
823	47752	10199
824	47809	10141
825	47865	10083
826	47962	10033
827	48006	9972
828	48073	9916
829	48127	9857
830	48177	9797
831	48229	9738
832	48294	9682
833	48351	9623
834	48407	9565
835	48523	9519
836	48576	9459
837	48622	9399
838	48680	9341
839	48736	9283
840	48801	9226
841	48853	9167
842	48913	9109
843	48970	9051
844	49021	8992
845	49081	8934
846	49137	8876
847	49195	8818
848	49253	8760
849	49314	8702
850	49366	8643
851	49417	8584
852	49485	8527
853	49557	8472
854	49607	8412
855	49664	8354
856	49722	8296
857	49778	8238
858	49876	8187
859	49933	8128
860	50035	8077
861	50086	8018
862	50146	7960
863	50205	7902
864	50259	7843
865	50308	7784
866	50368	7726
867	50430	7669
868	50485	7610
869	50545	7552
870	50600	7494
871	50658	7436
872	50717	7378
873	50787	7321
874	50888	7269
875	50944	7211
876	50999	7152
877	51052	7093
878	51161	7042
879	51216	6984
880	51271	6925
881	51325	6866
882	51385	6808
883	51443	6750
884	51497	6691
885	51552	6633
886	51614	6575
887	51694	6520
888	51766	6463
889	51822	6405
890	51883	6347
891	51937	6288
892	52003	6231
893	52081	6175
894	52141	6117
895	52212	6060
896	52284	6003
897	52350	5946
898	52418	5889
899	52474	5830
900	52557	5774
901	52643	5719
902	52722	5663
903	52790	5606
904	52856	5548
905	52918	5490
906	52982	5432
907	53078	5378
908	53148	5320
909	53207	5262
910	53273	5204
911	53357	5148
912	53454	5093
913	53525	5036
914	53595	4978
915	53663	4921
916	53734	4863
917	53792	4805
918	53861	4747
919	53929	4689
920	54004	4632
921	54062	4573
922	54132	4515
923	54195	4457
924	54250	4398
925	54310	4340
926	54369	4281
927	54429	4222
928	54488	4164
929	54542	4105
930	54596	4046
931	54651	3987
932	54713	3929
933	54777	3870
934	54835	3812
935	54891	3753
936	54948	3694
937	55016	3636
938	55081	3578
939	55139	3519
940	55242	3463
941	55294	3404
942	55342	3345
943	55393	3286
944	55452	3227
945	55522	3169
946	55585	3110
947	55646	3052
948	55705	2993
949	55762	2934
950	55819	2876
951	55872	2817
952	55933	2758
953	55988	2699
954	56051	2641
955	56115	2582
956	56185	2524
957	56246	2465
958	56305	2407
959	56359	2348
960	56413	2289
961	56474	2230
962	56526	2171
963	56580	2112
964	56635	2054
965	56700	1995
966	56759	1936
967	56821	1878
968	56888	1819
969	56954	1761
970	57009	1702
971	57069	1643
972	57132	1585
973	57186	1526
974	57241	1467
975	57303	1409
976	57355	1350
977	57412	1291
978	57475	1232
979	57541	1174
980	57609	1115
981	57672	1057
982	57728	998
983	57774	939
984	57834	880
985	57890	821
986	57947	763
987	58000	704
988	58059	645
989	58114	587
990	58221	528
991	58287	470
992	58341	411
993	58390	352
994	58444	293
995	58501	234
996	58559	176
997	58611	117
998	58668	58
999	58725	0
